Actor,Distributor,Franchise,Marvel/DC,Movie,Release Date,% Domestic Box Office,% Opening Weekend,Budget,Budget 2015 $,North American Box Office,North American Box Office  2015 $,North American Box Office Opening,North American Box Office Opening 2015 $,Number of Records,Return MM,Rotten Tomatoes,Worldwide Box Office,Worldwide Box Office 2015 $,Worldwide Box Office MM,Worldwide Box Office MM 2015 $
Christopher Reeve,Warner Bros.,Superman,DC,Superman,10-12-1978,0.447068497,0.048695280,55,199.1,134218018,485869225.16,6535784,23659538.08,1,245.218018,0.93,300218018,1086789225.16,300.218018,1086.78922516
Christopher Reeve,Warner Bros.,Superman,DC,Superman II,04-12-1980,1,0.130336285,54,154.98,108185706,310492976.22,14100523,40468501.01,1,54.185706,0.89,108185706,310492976.22,108.185706,310.49297622
Christopher Reeve,Warner Bros.,Superman,DC,Superman III,17-06-1983,0.848484865,0.222722573,39,92.43,59950623,142082976.51,13352357,31645086.09,1,31.65609,0.26,70656090,167454933.3,70.65609,167.4549333
,TriStar,No,DC,Supergirl,21-11-1984,1,0.401376133,35,79.45,14296438,32452914.26,5738249,13025825.23,1,-20.703562,0.08,14296438,32452914.26,14.296438,32.45291426
,Universal Pictures,No,Marvel,Howard the Duck,01-08-1986,0.429256671,0.311131954,37,79.55,16295774,35035914.1,5070136,10900792.4,1,0.962774000,0.15,37962774,81619964.1,37.962774,81.6199641
Christopher Reeve,Warner Bros.,Superman,DC,Superman IV: The Quest for Peace,24-07-1987,1,0.362420429,17,35.36,15681020,32616521.6,5683122,11820893.76,1,-1.31898,0.12,15681020,32616521.6,15.68102,32.6165216
Michael Keaton,Warner Bros.,Batman,DC,Batman,23-06-1989,0.610646848,0.161192402,48,91.2,251188924,477258955.6,40489746,76930517.4,1,363.348924,0.72,411348924,781562955.6,411.348924,781.5629556
Michael Keaton,Warner Bros.,Batman,DC,Batman Returns,19-06-1992,0.610262579,0.280582415,80,134.4,162831698,273557252.64,45687711,76755354.48,1,186.822354,0.81,266822354,448261554.72,266.822354,448.26155472
Val Kilmer,Warner Bros.,Batman,DC,Batman Forever,16-06-1995,0.546849307,0.286823420,100,155,184031112,285248223.6,52784433,81815871.15,1,236.529844,0.41,336529844,521621258.2,336.529844,521.6212582
George Clooney,Warner Bros.,Batman,DC,Batman & Robin,20-06-1997,0.450554098,0.399464497,140,205.8,107325195,157768036.65,42872605,63022729.35,1,98.207122,0.11,238207122,350164469.34,238.207122,350.16446934
