Align,Alive,date corrigé,EYE,First Appearance,GSM,Hair,ID,Name,SEX,Today,Universe,DC,Marvel,Number of Records,Time of existence,Total number of appearances
Good Characters,Living Characters,,Blue Eyes,01-05-1939,,Black Hair,Secret Identity,Batman (Bruce Wayne),Male Characters,02-10-2021,DC Comics,1,,1,82,3093
Good Characters,Living Characters,,Blue Eyes,01-10-1986,,Black Hair,Secret Identity,Superman (Clark Kent),Male Characters,02-10-2021,DC Comics,1,,1,35,2496
Good Characters,Living Characters,,Brown Eyes,01-10-1959,,Brown Hair,Secret Identity,Green Lantern (Hal Jordan),Male Characters,02-10-2021,DC Comics,1,,1,62,1565
Good Characters,Living Characters,,Brown Eyes,01-02-1987,,White Hair,Public Identity,James Gordon (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,34,1316
Good Characters,Living Characters,,Blue Eyes,01-04-1940,,Black Hair,Secret Identity,Richard Grayson (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,1237
Good Characters,Living Characters,,Blue Eyes,01-12-1941,,Black Hair,Public Identity,Wonder Woman (Diana Prince),Female Characters,02-10-2021,DC Comics,1,,1,80,1231
Good Characters,Living Characters,,Blue Eyes,01-11-1941,,Blond Hair,Public Identity,Aquaman (Arthur Curry),Male Characters,02-10-2021,DC Comics,1,,1,80,1121
Good Characters,Living Characters,,Blue Eyes,01-08-1989,,Black Hair,Secret Identity,Timothy Drake (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,32,1095
Good Characters,Living Characters,,Blue Eyes,01-11-1969,,Blond Hair,Public Identity,Dinah Laurel Lance (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,52,1075
Good Characters,Living Characters,,Blue Eyes,01-10-1956,,Blond Hair,Secret Identity,Flash (Barry Allen),Male Characters,02-10-2021,DC Comics,1,,1,65,1028
Good Characters,Living Characters,,Blue Eyes,01-10-1956,,Blond Hair,Secret Identity,GenderTest,Female Characters,02-10-2021,DC Comics,1,,1,65,1028
Good Characters,Deceased Characters,,Blue Eyes,01-07-1940,,Blond Hair,Secret Identity,Alan Scott (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,969
Good Characters,Living Characters,,Blue Eyes,01-01-1967,,Red Hair,Secret Identity,Barbara Gordon (New Earth),Female Characters,02-10-2021,DC Comics,1,,1,54,951
Good Characters,Living Characters,,Blue Eyes,01-01-1940,,Brown Hair,Public Identity,Jason Garrick (New Earth),Male Characters,02-10-2021,DC Comics,1,,1,81,951
