Date Released,Movie URL ,Series,Studio,Studio (group),Studio URL,Title,URL,Gross Theatre,Marvel Gross (),arvel GrossPast (),Number of Records,OPENING NEW,Opening ,Opening Theatre,Rank
,http://www.boxofficemojo.com/movies/?id=man-thing.htm,,Lions,Lionsgate & Lions,http://www.boxofficemojo.com/studio/chart/?studio=lions_gate.htm,Man-Thing,http://www.boxofficemojo.com/movies/?id=man-thing.htm,0,,,1,,,0,0
08-01-1986,http://www.boxofficemojo.com/movies/?id=howardtheduck.htm,,Universal,Universal,http://www.boxofficemojo.com/studio/chart/?studio=universal.htm,Howard the Duck,http://www.boxofficemojo.com/movies/?id=howardtheduck.htm,1563,16300000,16.3,1,5070000,5.07,1554,42
21-08-1998,http://www.boxofficemojo.com/movies/?id=blade.htm,Blade,NewLine,NewLine,http://www.boxofficemojo.com/studio/chart/?studio=newline.htm,Blade,http://www.boxofficemojo.com/movies/?id=blade.htm,2389,70090000,70.09,1,17070000,17.07,2322,36
14-07-2000,http://www.boxofficemojo.com/movies/?id=xmen.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X-Men,http://www.boxofficemojo.com/movies/?id=xmen.htm,3112,157300000,157.3,1,54470000,54.47,3025,25
05-03-2002,http://www.boxofficemojo.com/movies/?id=spiderman.htm,Spiderman,Sony,Sony,http://www.boxofficemojo.com/studio/chart/?studio=sony.htm,Spider-Man,http://www.boxofficemojo.com/movies/?id=spiderman.htm,3876,403710000,403.71,1,114840000,114.84,3615,5
22-03-2002,http://www.boxofficemojo.com/movies/?id=blade2.htm,Blade,NewLine,NewLine,http://www.boxofficemojo.com/studio/chart/?studio=newline.htm,Blade II,http://www.boxofficemojo.com/movies/?id=blade2.htm,2707,82350000,82.35,1,32530000,32.53,2707,35
05-02-2003,http://www.boxofficemojo.com/movies/?id=x2.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X2: X-Men United,http://www.boxofficemojo.com/movies/?id=x2.htm,3749,214950000,214.95,1,85560000,85.56,3741,18
14-02-2003,http://www.boxofficemojo.com/movies/?id=daredevil.htm,SuperHero,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,Daredevil,http://www.boxofficemojo.com/movies/?id=daredevil.htm,3474,102540000,102.54,1,40310000,40.31,3471,34
20-06-2003,http://www.boxofficemojo.com/movies/?id=hulk.htm,Hulk,Universal,Universal,http://www.boxofficemojo.com/studio/chart/?studio=universal.htm,Hulk,http://www.boxofficemojo.com/movies/?id=hulk.htm,3674,132180000,132.18,1,62130000,62.13,3660,31
16-04-2004,http://www.boxofficemojo.com/movies/?id=punisher.htm,Punisher,Lions,Lionsgate & Lions,http://www.boxofficemojo.com/studio/chart/?studio=lions_gate.htm,The Punisher,http://www.boxofficemojo.com/movies/?id=punisher.htm,2649,33810000,33.81,1,13830000,13.83,2649,40
