Date Released,Movie URL ,Series,Studio,Studio (group),Studio URL,Title,URL,Gross Theatre,Marvel Gross (M),Number of Records,Opening $,Opening Theatre,Rank
,http://www.boxofficemojo.com/movies/?id=man-thing.htm,,Lions,Lionsgate & Lions,http://www.boxofficemojo.com/studio/chart/?studio=lions_gate.htm,Man-Thing,http://www.boxofficemojo.com/movies/?id=man-thing.htm,0,,1,,0,0
08-01-1986,http://www.boxofficemojo.com/movies/?id=howardtheduck.htm,,Universal,Universal,http://www.boxofficemojo.com/studio/chart/?studio=universal.htm,Howard the Duck,http://www.boxofficemojo.com/movies/?id=howardtheduck.htm,1563,$16.30M,1,$5.07M,1554,42
21-08-1998,http://www.boxofficemojo.com/movies/?id=blade.htm,Blade,NewLine,NewLine,http://www.boxofficemojo.com/studio/chart/?studio=newline.htm,Blade,http://www.boxofficemojo.com/movies/?id=blade.htm,2389,$70.09M,1,$17.07M,2322,36
14-07-2000,http://www.boxofficemojo.com/movies/?id=xmen.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X-Men,http://www.boxofficemojo.com/movies/?id=xmen.htm,3112,$157.30M,1,$54.47M,3025,25
05-03-2002,http://www.boxofficemojo.com/movies/?id=spiderman.htm,Spiderman,Sony,Sony,http://www.boxofficemojo.com/studio/chart/?studio=sony.htm,Spider-Man,http://www.boxofficemojo.com/movies/?id=spiderman.htm,3876,$403.71M,1,$114.84M,3615,5
22-03-2002,http://www.boxofficemojo.com/movies/?id=blade2.htm,Blade,NewLine,NewLine,http://www.boxofficemojo.com/studio/chart/?studio=newline.htm,Blade II,http://www.boxofficemojo.com/movies/?id=blade2.htm,2707,$82.35M,1,$32.53M,2707,35
05-02-2003,http://www.boxofficemojo.com/movies/?id=x2.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X2: X-Men United,http://www.boxofficemojo.com/movies/?id=x2.htm,3749,$214.95M,1,$85.56M,3741,18
14-02-2003,http://www.boxofficemojo.com/movies/?id=daredevil.htm,SuperHero,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,Daredevil,http://www.boxofficemojo.com/movies/?id=daredevil.htm,3474,$102.54M,1,$40.31M,3471,34
20-06-2003,http://www.boxofficemojo.com/movies/?id=hulk.htm,Hulk,Universal,Universal,http://www.boxofficemojo.com/studio/chart/?studio=universal.htm,Hulk,http://www.boxofficemojo.com/movies/?id=hulk.htm,3674,$132.18M,1,$62.13M,3660,31
16-04-2004,http://www.boxofficemojo.com/movies/?id=punisher.htm,Punisher,Lions,Lionsgate & Lions,http://www.boxofficemojo.com/studio/chart/?studio=lions_gate.htm,The Punisher,http://www.boxofficemojo.com/movies/?id=punisher.htm,2649,$33.81M,1,$13.83M,2649,40
30-06-2004,http://www.boxofficemojo.com/movies/?id=spiderman2.htm,Spiderman,Sony,Sony,http://www.boxofficemojo.com/studio/chart/?studio=sony.htm,Spider-Man 2,http://www.boxofficemojo.com/movies/?id=spiderman2.htm,4166,$373.59M,1,$88.16M,4152,6
12-08-2004,http://www.boxofficemojo.com/movies/?id=blade3.htm,Blade,NewLine,NewLine,http://www.boxofficemojo.com/studio/chart/?studio=newline.htm,Blade: Trinity,http://www.boxofficemojo.com/movies/?id=blade3.htm,2912,$52.41M,1,$16.06M,2912,38
14-01-2005,http://www.boxofficemojo.com/movies/?id=elektra.htm,SuperHero,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,Elektra,http://www.boxofficemojo.com/movies/?id=elektra.htm,3204,$24.41M,1,$12.80M,3204,41
07-08-2005,http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,F4,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,3619,$154.70M,1,$56.06M,3602,27
26-05-2006,http://www.boxofficemojo.com/movies/?id=x3.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X-Men: The Last Stand,http://www.boxofficemojo.com/movies/?id=x3.htm,3714,$234.36M,1,$102.75M,3690,14
16-02-2007,http://www.boxofficemojo.com/movies/?id=ghostrider.htm,Ghost Rider,Sony,Sony,http://www.boxofficemojo.com/studio/chart/?studio=sony.htm,Ghost Rider,http://www.boxofficemojo.com/movies/?id=ghostrider.htm,3620,$115.80M,1,$45.39M,3619,33
05-04-2007,http://www.boxofficemojo.com/movies/?id=spiderman3.htm,Spiderman,Sony,Sony,http://www.boxofficemojo.com/studio/chart/?studio=sony.htm,Spider-Man 3,http://www.boxofficemojo.com/movies/?id=spiderman3.htm,4324,$336.53M,1,$151.12M,4252,8
15-06-2007,http://www.boxofficemojo.com/movies/?id=fantasticfour2.htm,F4,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,Fantastic Four: Rise of the Silver Surfer,http://www.boxofficemojo.com/movies/?id=fantasticfour2.htm,3963,$131.92M,1,$58.05M,3959,32
05-02-2008,http://www.boxofficemojo.com/movies/?id=ironman.htm,Iron Man,Paramount,Paramount,http://www.boxofficemojo.com/studio/chart/?studio=paramount.htm,Iron Man,http://www.boxofficemojo.com/movies/?id=ironman.htm,4154,$318.41M,1,$98.62M,4105,10
12-05-2008,http://www.boxofficemojo.com/movies/?id=punisher2.htm,Punisher,Lionsgate,Lionsgate & Lions,http://www.boxofficemojo.com/studio/chart/?studio=lionsgate.htm,Punisher: War Zone,http://www.boxofficemojo.com/movies/?id=punisher2.htm,2508,$8.05M,1,$4.27M,2508,43
13-06-2008,http://www.boxofficemojo.com/movies/?id=incrediblehulk.htm,Hulk,Universal,Universal,http://www.boxofficemojo.com/studio/chart/?studio=universal.htm,The Incredible Hulk,http://www.boxofficemojo.com/movies/?id=incrediblehulk.htm,3508,$134.81M,1,$55.41M,3505,29
05-01-2009,http://www.boxofficemojo.com/movies/?id=wolverine.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X-Men Origins: Wolverine,http://www.boxofficemojo.com/movies/?id=wolverine.htm,4102,$179.88M,1,$85.06M,4099,23
05-07-2010,http://www.boxofficemojo.com/movies/?id=ironman2.htm,Iron Man,Paramount,Paramount,http://www.boxofficemojo.com/studio/chart/?studio=paramount.htm,Iron Man 2,http://www.boxofficemojo.com/movies/?id=ironman2.htm,4390,$312.43M,1,$128.12M,4380,11
06-03-2011,http://www.boxofficemojo.com/movies/?id=xmenfirstclass.htm,X-Men,Fox,Fox,http://www.boxofficemojo.com/studio/chart/?studio=fox.htm,X-Men: First Class,http://www.boxofficemojo.com/movies/?id=xmenfirstclass.htm,3692,$146.41M,1,$55.10M,3641,28
05-06-2011,http://www.boxofficemojo.com/movies/?id=thor.htm,Thor,Paramount,Paramount,http://www.boxofficemojo.com/studio/chart/?studio=paramount.htm,Thor,http://www.boxofficemojo.com/movies/?id=thor.htm,3963,$181.03M,1,$65.72M,3955,21
22-07-2011,http://www.boxofficemojo.com/movies/?id=captainamerica.htm,Captain America,Paramount,Paramount,http://www.boxofficemojo.com/studio/chart/?studio=paramount.htm,Captain America: The First Avenger,http://www.boxofficemojo.com/movies/?id=captainamerica.htm,3715,$176.65M,1,$65.06M,3715,24
